"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"813612822416367618","813612499123642368","14401983","2016-12-27 05:09:47 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",".@TripAdvisor I can report individual reviews but want to report the hotel. Also, I raised the fraud question in my review but no response.","","","",""
"813612499123642368","","","2016-12-27 05:08:30 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",".@TripAdvisor I made a hotel decision based on what I now know are fraudulent reviews. Do you care? Googled but can't see how to report.","","","",""
"813607552919273472","813546446041546752","3948061","2016-12-27 04:48:51 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@elight Heh. No, about $6 total IIRC. Cube No. 7 is in the trendy Nimman area, has wifi, and hosts many meetups, including Beercamp.","","","",""
"813341560465027072","","","2016-12-26 11:11:53 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Fish &amp; Chips and Mango Yogurt Smoothie at Cube No. 7 in Chiang Mai. Check out the face on the cherry tomato. https://t.co/IVN6KWlNo1","","","","https://twitter.com/keithrbennett/status/813341560465027072/photo/1"
"812878984258031616","","","2016-12-25 04:33:47 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","My answer to ""What's the most hospitable thing a Thai has done for you?"": https://t.co/Nkj9dDQdgm (search page for ""Bennett"")","","","","http://www.thaivisa.com/forum/topic/959428-whats-the-most-hospitable-thing-a-thai-has-done-for-you/?page=2"
"812212961968209920","812207938186121216","2735246778","2016-12-23 08:27:14 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@ThePracticalDev Or: ""The purpose of software engineering is to provide functionality with as little complexity as possible.""","","","",""
"811614640530595840","811591742734602240","12699642","2016-12-21 16:49:44 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@mattpodwysocki @wycats Some org. decision makers will only permit a language for scripts if it is installed on Linux systems by default.","","","",""
"811611867172872193","811576861092413440","13020032","2016-12-21 16:38:42 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@atonse Great idea to chain them like that. There are utilities like pbcopy/pbpaste for Unix and even Windows also!: https://t.co/SrKbfS1wt5","","","","http://askubuntu.com/questions/11925/a-command-line-clipboard-copy-and-paste-utility"
"811543529776218112","","","2016-12-21 12:07:09 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Thai girl braves traffic to save dog hit by car (see video at page bottom, starting at 2:20). #radicalhelpfulness https://t.co/VRDn9T1yPo","","","","http://www.thaivisa.com/forum/topic/959654-video-thai-student-draws-praise-after-helping-injured-dog-at-songkhla-intersection/"
"810393865702219776","","","2016-12-18 07:58:48 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Used this script to solve a trivia night problem. I love how #ruby lets you express a problem so concisely: https://t.co/l6xRtf8mFB","","","","https://gist.github.com/keithrbennett/612edb047f24943b13eb5572e35c99d8"
"809671524747649024","","","2016-12-16 08:08:29 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Leaving Vientiane &amp; Laos.  This is the Mekong River, w/ Thailand on the other side. Tonight, Udon Thani. Then Bangkok &amp; home to  Chiang Mai. https://t.co/EzykcW3pCa","","","","https://twitter.com/keithrbennett/status/809671524747649024/photo/1"
"809415349107994625","809410118504816640","167533114","2016-12-15 15:10:32 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@6ftdan Still, I think you would be doing others a favor to hold them accountable.","","","",""
"809409706858926080","809403980929503233","167533114","2016-12-15 14:48:06 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@6ftdan If you paid with a credit card, contact the card's bank &amp; dispute the charge. Sounds like a breach of (maybe implied) contract.","","","",""
"809041817870082049","","","2016-12-14 14:26:15 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Best airline snack ever on @laoairlines 30 minute flight LPQ - VTE: Banana, jackfruit, sweet potato, pumpkin, taro, &amp; pineapple. https://t.co/YxUlpnKs83","","","","https://twitter.com/keithrbennett/status/809041817870082049/photo/1"
"808990824134361088","808923279939555328","5444392","2016-12-14 11:03:37 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@evanphx @mwpastore Difficult to discuss w/short Twitter messages. Please see my explanation and code at gist at https://t.co/6L60DPJ6ps.","","","","https://gist.github.com/keithrbennett/59c8bafe188736f0c940fe757f40b4b6"
"808947686678220800","","","2016-12-14 08:12:12 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","On my way to Vientiane, Laos for a couple of days to get a long stay Thai visa. https://t.co/emRun0jsX7","","","","https://twitter.com/keithrbennett/status/808947686678220800/photo/1"
"808920004859142144","808862482915692544","5444392","2016-12-14 06:22:12 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@evanphx @jc00ke @mperham 1) Eliminate GIL 2) support lambda mode that won't let them modify (or even access?) local vars of their binding.","","","",""
"808741622942830592","","","2016-12-13 18:33:23 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Dubious about Google Translate's Thai for ""lint remover"". Store staff brought me to the pharmacy section w/quizzical looks &amp; much giggling!","","","",""
"807923589190062084","","","2016-12-11 12:22:48 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Imagining what life was like in the times of the monks portrayed in wax in this temple. Where has humanity been, and where is it going? https://t.co/fCAvcwHrwm","","","","https://twitter.com/keithrbennett/status/807923589190062084/photo/1"
"807922350125481984","","","2016-12-11 12:17:53 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I will have grown up quite a bit if I can become as patient and tolerant as so many of the Thai and foreign people I have met here.","","","",""
"807590381034422273","","","2016-12-10 14:18:45 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Treasure from the 24 hour fruit market in Chiang Mai -- papaya, jackfruit, longkong, coconut. Total cost , 150 baht, about $4.30 US. https://t.co/UHDjYbrxii","","","","https://twitter.com/keithrbennett/status/807590381034422273/photo/1"
"806822132147552260","","30973","2016-12-08 11:26:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@starbucks Even w/multiple staff here, English expertise is far less than virtually all of the dozens/100's of *Thai* cafes I've visited.","","","",""
"806821485994090501","","30973","2016-12-08 11:23:26 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@starbucks Also, I realize I should speak Thai, but for cust. svc could you have an English speaking rep available by phone &amp; inform staff?","","","",""
"806820454795091968","","30973","2016-12-08 11:19:21 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@starbucks Your new Ram location in Chiang Mai, Thailand is beautiful, but the parking is motorbike-hostile, too far. I may not return.","","","",""
"806543208616341505","","","2016-12-07 16:57:40 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Instant karaoke friends from Singapore and Thailand at a Japanese karaoke restaurant in Chiang Mai. https://t.co/7Sz4ES5tHU","","","","https://twitter.com/keithrbennett/status/806543208616341505/photo/1"
"806042035413086208","","22919665","2016-12-06 07:46:11 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@airasia Thanks for all you do. Could you provide a way to save an entire chat conversation in your chat window? Currently not possible.","","","",""
"805807307938402304","","","2016-12-05 16:13:28 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Photo of Elvis with King Bhumibol of Thailand (also a formidable musician), as seen in Duke's Restaurant in Chiang Mai. https://t.co/ATRJzbwIRq","","","","https://twitter.com/keithrbennett/status/805807307938402304/photo/1"
"805693329048383488","","","2016-12-05 08:40:33 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","A coconut shredder at Mango Mania in Central Festival Mall in Chiang Mai. https://t.co/8nFVy7vwCJ","","","","https://twitter.com/keithrbennett/status/805693329048383488/photo/1"
"805687761290153984","","","2016-12-05 08:18:25 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bought a pair of pants in Central dept. store in Chiang Mai. They cut them to my length on the spot. https://t.co/BRQJsJhT1W","","","","https://twitter.com/keithrbennett/status/805687761290153984/photo/1"
"805352048552120320","","","2016-12-04 10:04:25 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","An Italian homeless invalid was dumped at a hotel here in Thailand. Can anyone translate Italian or Spanish to Thai or English by phone?","","","",""
"805089355228266496","","","2016-12-03 16:40:34 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @stilkov: ""This is the most dangerous time for our planet"" – Stephen Hawking  https://t.co/LRGKdaOXcm","805020430985818112","5325152","2016-12-03 12:06:41 +0000","https://www.theguardian.com/commentisfree/2016/dec/01/stephen-hawking-dangerous-time-planet-inequality,https://www.theguardian.com/commentisfree/2016/dec/01/stephen-hawking-dangerous-time-planet-inequality"
"805050063768535040","","","2016-12-03 14:04:26 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","People who think all Arabs &amp; Muslims are terrorists, please read this: https://t.co/kKaQX5pTI5 Love of peace &amp; brotherhood is universal.","","","","http://www.timesofisrael.com/israeli-arabs-donate-wood-to-rebuild-burned-haifa-synagogue/"
